Survived,Pclass,Sex,Age,SibSp,Parch,Fare,Embarked,Title,Age_miss
1,1,0,49.0,1,0,38.3646,0,3,0.0
1,2,0,29.0,1,0,13.0,3,3,0.0
0,1,1,65.0,0,1,30.9896,0,2,0.0
1,1,1,29.69911764705882,0,0,35.5,3,2,1.0
1,2,0,21.0,0,0,10.5,3,1,0.0
0,3,1,28.5,0,0,7.2292,0,2,0.0
1,2,0,5.0,1,2,6.9375,3,1,0.0
0,3,1,11.0,5,2,5.8625,3,0,0.0
0,3,1,22.0,0,0,7.2292,0,2,0.0
1,1,0,38.0,0,0,80.0,1,1,0.0
0,1,1,45.0,1,0,41.7375,3,2,0.0
0,3,1,4.0,3,2,4.65,3,0,0.0
0,1,1,29.69911764705882,0,0,27.7208,0,2,1.0
1,3,1,29.69911764705882,1,1,5.081933333333333,0,0,1.0
1,2,0,29.0,0,0,10.5,3,3,0.0
0,3,1,19.0,0,0,8.1583,3,2,0.0
1,3,0,17.0,4,2,1.1321428571428571,3,1,0.0
0,3,1,26.0,2,0,2.8875,3,2,0.0
0,2,1,32.0,0,0,10.5,3,2,0.0
0,3,0,16.0,5,2,5.8625,3,1,0.0
0,2,1,21.0,0,0,73.5,3,2,0.0
0,3,1,26.0,1,0,7.2271,0,2,0.0
1,3,1,32.0,0,0,56.4958,3,2,0.0
0,3,1,25.0,0,0,7.65,3,2,0.0
0,3,1,29.69911764705882,0,0,7.8958,3,2,1.0
0,3,1,29.69911764705882,0,0,8.05,3,2,1.0
1,2,1,0.83,0,2,9.666666666666666,3,0,0.0
1,3,0,30.0,0,0,12.475,3,1,0.0
0,3,1,22.0,0,0,9.0,3,2,0.0
1,3,1,29.0,0,0,9.5,3,2,0.0
1,3,0,29.69911764705882,0,0,7.7875,2,1,1.0
0,1,1,28.0,0,0,47.1,3,2,0.0
1,2,0,17.0,0,0,10.5,3,1,0.0
1,3,0,33.0,3,0,3.9625,3,3,0.0
0,3,1,16.0,1,3,6.875,3,2,0.0
0,3,1,29.69911764705882,0,0,8.05,3,2,1.0
1,1,0,23.0,3,2,43.833333333333336,3,1,0.0
0,3,1,24.0,0,0,8.05,3,2,0.0
0,3,1,29.0,0,0,8.05,3,2,0.0
0,3,1,20.0,0,0,7.8542,3,2,0.0
0,1,1,46.0,1,0,30.5875,3,2,0.0
0,3,1,26.0,1,2,5.14375,3,2,0.0
0,3,1,59.0,0,0,7.25,3,2,0.0
0,3,1,29.69911764705882,0,0,8.05,3,2,1.0
0,1,1,71.0,0,0,34.6542,0,2,0.0
1,1,1,23.0,0,1,31.67915,0,2,0.0
1,2,0,34.0,0,1,11.5,3,3,0.0
0,2,1,34.0,1,0,13.0,3,2,0.0
0,3,0,28.0,0,0,7.8958,3,1,0.0
0,3,1,29.69911764705882,0,0,7.8958,3,2,1.0
0,1,1,21.0,0,1,38.64375,3,2,0.0
0,3,1,33.0,0,0,8.6542,3,2,0.0
0,3,1,37.0,2,0,2.6416666666666666,3,2,0.0
0,3,1,28.0,0,0,7.8958,3,2,0.0
1,3,0,21.0,0,0,7.65,3,1,0.0
1,3,1,29.69911764705882,0,0,7.775,3,2,1.0
0,3,1,38.0,0,0,7.8958,3,2,0.0
1,3,0,29.69911764705882,1,0,12.075,2,1,1.0
0,1,1,47.0,0,0,52.0,3,2,0.0
0,3,0,14.5,1,0,7.2271,0,1,0.0
0,3,1,22.0,0,0,8.05,3,2,0.0
0,3,0,20.0,1,0,4.9125,3,1,0.0
0,3,0,17.0,0,0,14.4583,0,1,0.0
0,3,1,21.0,0,0,7.925,3,2,0.0
0,3,1,70.5,0,0,7.75,2,2,0.0
0,2,1,29.0,1,0,10.5,3,2,0.0
0,1,1,24.0,0,1,123.7604,0,2,0.0
0,3,0,2.0,4,2,4.467857142857143,3,1,0.0
0,2,1,21.0,2,0,24.5,3,2,0.0
0,3,1,29.69911764705882,0,0,8.05,3,2,1.0
0,2,1,32.5,1,0,15.0354,0,2,0.0
1,2,0,32.5,0,0,13.0,3,1,0.0
0,1,1,54.0,0,1,38.64375,3,2,0.0
1,3,1,12.0,1,0,5.62085,0,0,0.0
0,3,1,29.69911764705882,0,0,7.75,2,2,1.0
1,3,1,24.0,0,0,7.1417,3,2,0.0
1,3,0,29.69911764705882,1,1,7.452766666666666,0,1,1.0
0,3,1,45.0,0,0,6.975,3,2,0.0
0,3,1,33.0,0,0,7.8958,0,2,0.0
0,3,1,20.0,0,0,7.05,3,2,0.0
0,3,0,47.0,1,0,7.25,3,3,0.0
1,2,0,29.0,1,0,13.0,3,3,0.0
0,2,1,25.0,0,0,13.0,3,2,0.0
0,2,1,23.0,0,0,15.0458,0,2,0.0
1,1,0,19.0,0,2,8.7611,3,1,0.0
0,1,1,37.0,1,0,26.55,3,2,0.0
0,3,1,16.0,0,0,9.2167,3,2,0.0
0,1,1,24.0,0,0,79.2,0,2,0.0
0,3,0,29.69911764705882,0,2,5.081933333333333,0,3,1.0
1,3,0,22.0,0,0,7.75,3,1,0.0
1,3,0,24.0,1,0,7.925,3,3,0.0
0,3,1,19.0,0,0,6.75,2,2,0.0
0,2,1,18.0,0,0,11.5,3,2,0.0
0,2,1,19.0,1,1,12.25,3,2,0.0
1,3,1,27.0,0,0,7.7958,3,2,0.0
0,3,0,9.0,2,2,6.875,3,1,0.0
0,2,1,36.5,0,2,8.666666666666666,3,2,0.0
0,2,1,42.0,0,0,13.0,3,4,0.0
0,2,1,51.0,0,0,12.525,3,4,0.0
1,1,0,22.0,1,0,33.3,3,3,0.0
0,3,1,55.5,0,0,8.05,3,2,0.0
0,3,1,40.5,0,2,4.833333333333333,3,2,0.0
0,3,1,29.69911764705882,0,0,7.3125,3,2,1.0
0,1,1,51.0,0,1,30.6896,0,2,0.0
1,3,0,16.0,0,0,7.7333,2,1,0.0
0,3,1,30.0,0,0,8.05,3,2,0.0
0,3,1,29.69911764705882,0,0,8.6625,3,2,1.0
0,3,1,29.69911764705882,8,2,6.322727272727272,3,0,1.0
0,3,1,44.0,0,1,8.05,3,2,0.0
1,2,0,40.0,0,0,15.75,3,3,0.0
0,3,1,26.0,0,0,7.775,3,2,0.0
0,3,1,17.0,0,0,8.6625,3,2,0.0
0,3,1,1.0,4,1,6.614583333333333,3,0,0.0
1,3,1,9.0,0,2,6.841666666666666,3,0,0.0
1,1,0,29.69911764705882,0,1,27.5,3,3,1.0
0,3,0,45.0,1,4,4.65,3,3,0.0
0,1,1,29.69911764705882,0,0,25.925,3,2,1.0
0,3,1,28.0,0,0,56.4958,3,2,0.0
0,1,1,61.0,0,0,33.5,3,2,0.0
0,3,1,4.0,4,1,4.854166666666667,2,0,0.0
1,3,0,1.0,1,1,3.7111,3,1,0.0
0,3,1,21.0,0,0,7.925,3,2,0.0
0,1,1,56.0,0,0,30.6958,0,2,0.0
0,3,1,18.0,1,1,2.6180666666666665,3,2,0.0
0,3,1,29.69911764705882,3,1,5.09334,3,0,1.0
0,1,0,50.0,0,0,28.7125,0,1,0.0
0,2,1,30.0,0,0,13.0,3,2,0.0
0,3,1,36.0,0,0,0.0,3,2,0.0
0,3,0,29.69911764705882,8,2,6.322727272727272,3,1,1.0
0,2,1,29.69911764705882,0,0,15.05,0,2,1.0
0,3,1,9.0,4,2,4.483928571428572,3,0,0.0
1,2,1,1.0,2,1,9.75,3,0,0.0
1,3,0,4.0,0,2,7.341666666666666,3,1,0.0
0,1,1,29.69911764705882,0,0,50.0,3,2,1.0
1,3,0,29.69911764705882,1,0,7.75,2,3,1.0
1,1,1,45.0,0,0,26.55,3,2,0.0
0,3,1,40.0,1,1,5.166666666666667,2,2,0.0
0,3,1,36.0,0,0,7.8958,3,2,0.0
1,2,0,32.0,0,0,13.0,3,3,0.0
0,2,1,19.0,0,0,13.0,3,2,0.0
1,3,0,19.0,1,0,3.9271,3,1,0.0
1,2,1,3.0,1,1,8.666666666666666,3,0,0.0
1,1,0,44.0,0,0,27.7208,0,3,0.0
1,1,0,58.0,0,0,146.5208,0,1,0.0
0,3,1,29.69911764705882,0,0,7.75,2,2,1.0
0,3,1,42.0,0,1,4.2021,3,2,0.0
1,3,0,29.69911764705882,0,0,7.75,2,1,1.0
0,2,0,24.0,0,0,13.0,3,1,0.0
0,3,1,28.0,0,0,9.5,3,2,0.0
0,3,1,29.69911764705882,8,2,6.322727272727272,3,2,1.0
0,3,1,34.0,0,0,6.4958,3,2,0.0
0,3,1,45.5,0,0,7.225,0,2,0.0
1,3,1,18.0,0,0,8.05,3,2,0.0
0,3,0,2.0,0,1,5.23125,3,1,0.0
0,3,1,32.0,1,0,7.925,3,2,0.0
1,3,1,26.0,0,0,18.7875,0,2,0.0
1,3,0,16.0,0,0,7.75,2,1,0.0
1,1,1,40.0,0,0,31.0,0,2,0.0
0,3,1,24.0,0,0,7.05,3,2,0.0
1,2,0,35.0,0,0,21.0,3,1,0.0
0,3,1,22.0,0,0,7.25,3,2,0.0
0,2,1,30.0,0,0,13.0,3,2,0.0
0,3,1,29.69911764705882,1,0,3.875,2,2,1.0
1,1,0,31.0,1,0,56.6375,0,1,0.0
1,3,0,27.0,0,0,7.925,3,1,0.0
0,2,1,42.0,1,0,13.5,3,2,0.0
1,1,0,32.0,0,0,76.2917,0,1,0.0
0,2,1,30.0,0,0,10.5,3,2,0.0
1,3,1,16.0,0,0,8.05,3,2,0.0
0,2,1,27.0,0,0,13.0,3,2,0.0
0,3,1,51.0,0,0,8.05,3,2,0.0
0,3,1,29.69911764705882,0,0,7.8958,3,2,1.0
1,1,1,38.0,1,0,45.0,3,2,0.0
0,3,1,22.0,0,0,9.35,3,2,0.0
1,2,1,19.0,0,0,10.5,3,2,0.0
0,3,1,20.5,0,0,7.25,3,2,0.0
0,2,1,18.0,0,0,13.0,3,2,0.0
0,3,0,29.69911764705882,3,1,5.09334,3,1,1.0
1,1,0,35.0,1,0,41.7375,3,3,0.0
0,3,1,29.0,0,0,7.775,3,2,0.0
0,2,1,59.0,0,0,13.5,3,2,0.0
1,3,0,5.0,4,2,4.483928571428572,3,1,0.0
0,2,1,24.0,0,0,10.5,3,2,0.0
0,3,0,29.69911764705882,0,0,7.55,3,1,1.0
0,2,1,44.0,1,0,13.0,3,2,0.0
1,2,0,8.0,0,2,8.75,3,1,0.0
0,2,1,19.0,0,0,10.5,3,2,0.0
0,2,1,33.0,0,0,12.275,3,2,0.0
0,3,0,29.69911764705882,1,0,7.2271,0,1,1.0
1,3,0,29.69911764705882,1,0,7.75,2,1,1.0
0,2,1,29.0,0,0,10.5,3,2,0.0
0,3,1,22.0,0,0,7.125,3,2,0.0
0,3,1,30.0,0,0,7.225,0,2,0.0
0,1,1,44.0,2,0,30.0,2,4,0.0
0,3,0,25.0,0,0,7.775,3,1,0.0
1,2,0,24.0,0,2,4.833333333333333,3,3,0.0
1,1,1,37.0,1,1,17.518066666666666,3,2,0.0
0,2,1,54.0,1,0,13.0,3,4,0.0
0,3,1,29.69911764705882,0,0,7.25,3,2,1.0
0,3,0,29.0,1,1,3.4875000000000003,3,3,0.0
0,1,1,62.0,0,0,26.55,3,2,0.0
0,3,1,30.0,1,0,8.05,3,2,0.0
0,3,0,41.0,0,2,6.7375,3,3,0.0
1,3,0,29.0,0,2,5.081933333333333,0,3,0.0
1,1,0,29.69911764705882,0,0,79.2,0,3,1.0
1,1,0,30.0,0,0,86.5,3,1,0.0
1,1,0,35.0,0,0,512.3292,0,1,0.0
1,2,0,50.0,0,1,13.0,3,3,0.0
0,3,1,29.69911764705882,0,0,7.75,2,2,1.0
1,3,1,3.0,4,2,4.483928571428572,3,0,0.0
0,1,1,52.0,1,1,26.55,3,2,0.0
0,1,1,40.0,0,0,0.0,3,2,0.0
0,3,0,29.69911764705882,0,0,7.75,2,1,1.0
0,2,1,36.0,0,0,10.5,3,2,0.0
0,3,1,16.0,4,1,6.614583333333333,3,2,0.0
1,3,1,25.0,1,0,3.8875,3,2,0.0
1,1,0,58.0,0,1,76.73125,3,3,0.0
1,1,0,35.0,0,0,135.6333,3,1,0.0
0,1,1,29.69911764705882,0,0,31.0,3,2,1.0
1,3,1,25.0,0,0,0.0,3,2,0.0
1,2,0,41.0,0,1,9.75,3,3,0.0
0,1,1,37.0,0,1,14.85,0,2,0.0
1,3,0,29.69911764705882,0,0,7.75,2,1,1.0
1,1,0,63.0,1,0,38.97915,3,1,0.0
0,3,0,45.0,0,0,7.75,3,1,0.0
0,2,1,29.69911764705882,0,0,0.0,3,2,1.0
0,3,1,7.0,4,1,4.854166666666667,2,0,0.0
1,3,0,35.0,1,1,6.75,3,3,0.0
0,3,1,65.0,0,0,7.75,2,2,0.0
0,3,1,28.0,0,0,7.8542,3,2,0.0
0,3,1,16.0,0,0,9.5,3,2,0.0
1,3,1,19.0,0,0,8.05,3,2,0.0
0,1,1,29.69911764705882,0,0,26.0,3,2,1.0
0,3,1,33.0,0,0,8.6625,0,2,0.0
1,3,1,30.0,0,0,9.5,3,2,0.0
0,3,1,22.0,0,0,7.8958,3,2,0.0
1,2,1,42.0,0,0,13.0,3,2,0.0
1,3,0,22.0,0,0,7.75,2,1,0.0
1,1,0,26.0,0,0,78.85,3,1,0.0
1,1,0,19.0,1,0,45.5396,0,3,0.0
0,2,1,36.0,0,0,12.875,0,2,0.0
0,3,0,24.0,0,0,8.85,3,1,0.0
0,3,1,24.0,0,0,7.8958,3,2,0.0
0,1,1,29.69911764705882,0,0,27.7208,0,2,1.0
0,3,1,23.5,0,0,7.2292,0,2,0.0
0,1,0,2.0,1,2,37.8875,3,1,0.0
1,1,1,29.69911764705882,0,0,30.5,3,2,1.0
1,1,0,50.0,0,1,123.7604,0,3,0.0
1,3,0,29.69911764705882,0,0,7.75,2,1,1.0
1,3,1,29.69911764705882,2,0,7.75,2,2,1.0
0,3,1,19.0,0,0,0.0,3,2,0.0
1,2,0,29.69911764705882,0,0,12.35,2,1,1.0
0,3,1,29.69911764705882,0,0,8.05,3,2,1.0
1,1,1,0.92,1,2,37.8875,3,0,0.0
1,1,0,29.69911764705882,0,0,110.8833,0,1,1.0
1,1,0,17.0,1,0,54.45,0,3,0.0
0,2,1,30.0,1,0,12.0,0,2,0.0
1,1,0,30.0,0,0,56.9292,0,1,0.0
1,1,0,24.0,0,0,83.1583,0,1,0.0
1,1,0,18.0,2,2,52.475,0,1,0.0
0,2,0,26.0,1,1,8.666666666666666,3,3,0.0
0,3,1,28.0,0,0,7.8958,3,2,0.0
0,2,1,43.0,1,1,8.75,3,2,0.0
1,3,0,26.0,0,0,7.8542,3,1,0.0
1,2,0,24.0,1,0,13.0,3,3,0.0
0,2,1,54.0,0,0,14.0,3,4,0.0
1,1,0,31.0,0,2,54.95556666666667,3,1,0.0
1,1,0,40.0,1,1,44.833333333333336,0,3,0.0
0,3,1,22.0,0,0,7.25,3,2,0.0
0,3,1,27.0,0,0,7.8958,3,2,0.0
1,2,0,30.0,0,0,12.35,2,1,0.0
1,2,0,22.0,1,1,9.666666666666666,3,3,0.0
0,3,1,29.69911764705882,8,2,6.322727272727272,3,2,1.0
1,1,0,36.0,0,0,135.6333,0,1,0.0
0,3,1,61.0,0,0,6.2375,3,2,0.0
1,2,0,36.0,0,0,13.0,3,3,0.0
1,3,0,31.0,1,1,6.841666666666666,3,3,0.0
1,1,0,16.0,0,1,28.9896,0,1,0.0
1,3,0,29.69911764705882,2,0,7.75,2,1,1.0
0,1,1,45.5,0,0,28.5,3,2,0.0
0,1,1,38.0,0,1,76.73125,3,2,0.0
0,3,1,16.0,2,0,6.0,3,2,0.0
1,1,0,29.69911764705882,1,0,66.825,3,3,1.0
0,3,1,29.69911764705882,0,0,7.8958,3,2,1.0
0,1,1,29.0,1,0,33.3,3,2,0.0
1,1,0,41.0,0,0,134.5,0,1,0.0
1,3,1,45.0,0,0,8.05,3,2,0.0
0,1,1,45.0,0,0,35.5,3,2,0.0
1,2,1,2.0,1,1,8.666666666666666,3,0,0.0
1,1,0,24.0,3,2,43.833333333333336,3,1,0.0
0,2,1,28.0,0,0,13.0,3,2,0.0
0,2,1,25.0,0,0,13.0,3,2,0.0
0,2,1,36.0,0,0,13.0,3,2,0.0
1,2,0,24.0,0,0,13.0,3,1,0.0
1,2,0,40.0,0,0,13.0,3,1,0.0
1,3,0,29.69911764705882,1,0,8.05,3,3,1.0
1,3,1,3.0,1,1,5.3,3,0,0.0
0,3,1,42.0,0,0,8.6625,3,2,0.0
0,3,1,23.0,0,0,9.225,3,2,0.0
0,1,1,29.69911764705882,0,0,35.0,3,2,1.0
0,3,1,15.0,1,1,2.409733333333333,0,2,0.0
0,3,1,25.0,1,0,8.9,3,2,0.0
0,3,1,29.69911764705882,0,0,7.225,0,2,1.0
0,3,1,28.0,0,0,9.5,3,2,0.0
1,1,0,22.0,0,1,27.5,3,1,0.0
0,2,0,38.0,0,0,13.0,3,1,0.0
1,3,0,29.69911764705882,0,0,7.8792,2,1,1.0
1,3,0,29.69911764705882,0,0,7.8792,2,1,1.0
0,3,1,40.0,1,4,4.65,3,2,0.0
0,2,1,29.0,1,0,13.8604,0,2,0.0
0,3,0,45.0,0,1,7.2271,0,3,0.0
0,3,1,35.0,0,0,7.05,3,2,0.0
0,3,1,29.69911764705882,1,0,7.75,2,2,1.0
0,3,1,30.0,0,0,7.25,3,2,0.0
1,1,0,60.0,1,0,37.625,0,3,0.0
1,3,0,29.69911764705882,0,0,7.2292,0,3,1.0
1,3,0,29.69911764705882,0,0,7.75,2,1,1.0
1,1,0,24.0,0,0,69.3,0,3,0.0
1,1,1,25.0,1,0,27.72085,0,2,0.0
0,3,1,18.0,1,0,3.2479,3,2,0.0
0,3,1,19.0,0,0,8.05,3,2,0.0
0,1,1,22.0,0,0,135.6333,0,2,0.0
0,3,0,3.0,3,1,4.215,3,1,0.0
1,1,0,29.69911764705882,1,0,41.0854,0,3,1.0
1,3,0,22.0,0,0,7.25,3,1,0.0
0,1,1,27.0,0,2,70.5,0,2,0.0
0,3,1,20.0,0,0,4.0125,0,2,0.0
0,3,1,19.0,0,0,7.775,3,2,0.0
1,1,0,42.0,0,0,227.525,0,1,0.0
1,3,0,1.0,0,2,5.247233333333333,0,1,0.0
0,3,1,32.0,0,0,7.925,3,2,0.0
1,1,0,35.0,1,0,26.0,3,3,0.0
0,3,1,29.69911764705882,0,0,7.8958,3,2,1.0
0,2,1,18.0,0,0,73.5,3,2,0.0
0,3,1,1.0,5,2,5.8625,3,0,0.0
1,2,0,36.0,0,0,13.0,3,1,0.0
0,3,1,29.69911764705882,0,0,7.7292,2,2,1.0
1,2,0,17.0,0,0,12.0,0,1,0.0
1,1,1,36.0,1,2,30.0,3,2,0.0
1,3,1,21.0,0,0,7.7958,3,2,0.0
0,3,1,28.0,2,0,2.6416666666666666,3,2,0.0
1,1,0,23.0,1,0,56.6375,0,1,0.0
1,3,0,24.0,0,2,5.566666666666666,3,3,0.0
0,3,1,22.0,0,0,7.7958,3,2,0.0
0,3,0,31.0,0,0,7.8542,3,1,0.0
0,2,1,46.0,0,0,26.0,3,2,0.0
0,2,1,23.0,0,0,10.5,3,4,0.0
1,2,0,28.0,0,0,12.65,3,3,0.0
1,3,1,39.0,0,0,7.925,3,2,0.0
0,3,1,26.0,0,0,8.05,3,2,0.0
0,3,0,21.0,1,0,4.9125,3,1,0.0
0,3,1,28.0,1,0,7.925,3,2,0.0
0,3,0,20.0,0,0,8.6625,3,1,0.0
0,2,1,34.0,1,0,10.5,3,2,0.0
0,3,1,51.0,0,0,7.75,3,2,0.0
1,2,1,3.0,1,1,6.25,3,0,0.0
0,3,1,21.0,0,0,7.775,3,2,0.0
0,3,0,29.69911764705882,3,1,5.09334,3,1,1.0
0,3,1,29.69911764705882,0,0,7.8958,3,2,1.0
0,3,1,29.69911764705882,0,0,6.8583,2,2,1.0
1,1,0,33.0,1,0,45.0,2,1,0.0
0,2,1,29.69911764705882,0,0,0.0,3,2,1.0
1,3,1,44.0,0,0,7.925,3,2,0.0
0,3,0,29.69911764705882,0,0,8.05,3,3,1.0
1,2,0,34.0,1,1,10.833333333333334,3,3,0.0
1,2,0,18.0,0,2,4.333333333333333,3,1,0.0
0,2,1,30.0,0,0,13.0,3,2,0.0
0,3,0,10.0,0,2,8.049999999999999,3,1,0.0
0,3,1,29.69911764705882,0,0,7.8958,0,2,1.0
0,3,1,21.0,0,0,7.7333,2,2,0.0
0,3,1,29.0,0,0,7.875,3,2,0.0
0,3,0,28.0,1,1,4.8,3,3,0.0
0,3,1,18.0,1,1,6.7375,3,2,0.0
0,3,1,29.69911764705882,0,0,7.25,3,2,1.0
1,2,0,28.0,1,0,13.0,3,3,0.0
1,2,0,19.0,0,0,26.0,3,1,0.0
0,3,1,29.69911764705882,0,0,7.75,2,2,1.0
1,3,1,32.0,0,0,8.05,3,2,0.0
1,1,1,28.0,0,0,26.55,3,2,0.0
1,3,0,29.69911764705882,1,0,8.05,3,3,1.0
1,2,0,42.0,1,0,13.0,3,3,0.0
0,3,1,17.0,0,0,7.125,3,2,0.0
0,1,1,50.0,1,0,27.95,3,2,0.0
1,1,0,14.0,1,2,30.0,3,1,0.0
0,3,0,21.0,2,2,6.875,3,1,0.0
1,2,0,24.0,2,3,3.125,3,3,0.0
0,1,1,64.0,1,4,43.833333333333336,3,2,0.0
0,2,1,31.0,0,0,10.5,3,2,0.0
1,2,0,45.0,1,1,8.75,3,3,0.0
0,3,1,20.0,0,0,9.5,3,2,0.0
0,3,1,25.0,1,0,3.8875,3,2,0.0
1,2,0,28.0,0,0,13.0,3,1,0.0
1,3,1,29.69911764705882,0,0,8.1125,3,2,1.0
1,1,1,4.0,0,2,27.2861,3,0,0.0
1,2,0,13.0,0,1,9.75,3,1,0.0
1,1,1,34.0,0,0,26.55,3,2,0.0
1,3,0,5.0,2,1,4.814575,0,1,0.0
1,1,1,52.0,0,0,30.5,3,4,0.0
0,2,1,36.0,1,2,6.9375,3,2,0.0
0,3,1,29.69911764705882,1,0,9.98335,3,2,1.0
0,1,1,30.0,0,0,27.75,0,2,0.0
1,1,1,49.0,1,0,44.5521,0,2,0.0
0,3,1,29.69911764705882,0,0,8.05,3,2,1.0
1,3,1,29.0,0,0,7.8958,0,2,0.0
0,1,1,65.0,0,0,26.55,3,2,0.0
1,1,0,29.69911764705882,1,0,25.93125,3,3,1.0
1,2,0,50.0,0,0,10.5,3,1,0.0
0,3,1,29.69911764705882,0,0,7.75,2,2,1.0
1,1,1,48.0,0,0,26.55,3,2,0.0
0,3,1,34.0,0,0,8.05,3,2,0.0
0,1,1,47.0,0,0,38.5,3,2,0.0
0,2,1,48.0,0,0,13.0,3,2,0.0
0,3,1,29.69911764705882,0,0,8.05,3,2,1.0
0,3,1,38.0,0,0,7.05,3,2,0.0
0,2,1,29.69911764705882,0,0,0.0,3,2,1.0
0,1,1,56.0,0,0,26.55,3,2,0.0
0,3,1,29.69911764705882,0,0,7.725,2,2,1.0
1,3,0,0.75,2,1,4.814575,0,1,0.0
0,3,1,29.69911764705882,0,0,7.25,3,2,1.0
0,3,1,38.0,0,0,8.6625,3,2,0.0
1,2,0,33.0,1,2,6.9375,3,3,0.0
1,2,0,23.0,0,0,13.7917,0,3,0.0
0,3,0,22.0,0,0,9.8375,3,1,0.0
0,1,1,29.69911764705882,0,0,52.0,3,2,1.0
0,2,1,34.0,1,0,10.5,3,2,0.0
0,3,1,29.0,1,0,3.5229,3,2,0.0
0,3,1,22.0,0,0,7.5208,3,2,0.0
1,3,0,2.0,0,1,6.14375,3,1,0.0
0,3,1,9.0,5,2,5.8625,3,0,0.0
0,2,1,29.69911764705882,0,0,0.0,3,2,1.0
0,3,1,50.0,0,0,8.05,3,2,0.0
1,3,0,63.0,0,0,9.5875,3,3,0.0
1,1,1,25.0,1,0,45.5396,0,2,0.0
0,3,0,29.69911764705882,3,1,5.09334,3,1,1.0
1,1,0,35.0,1,0,45.0,3,3,0.0
0,1,1,58.0,0,0,29.7,0,2,0.0
0,3,1,30.0,0,0,8.05,3,2,0.0
1,3,1,9.0,1,1,5.3,3,0,0.0
0,3,1,29.69911764705882,1,0,9.98335,3,2,1.0
0,3,1,21.0,0,0,7.25,3,2,0.0
0,1,1,55.0,0,0,30.5,3,2,0.0
0,1,1,71.0,0,0,49.5042,0,2,0.0
0,3,1,21.0,0,0,8.05,3,2,0.0
0,3,1,29.69911764705882,0,0,14.4583,0,2,1.0
1,1,0,54.0,1,0,39.13335,0,1,0.0
0,3,1,29.69911764705882,0,0,15.1,3,2,1.0
0,1,0,25.0,1,2,37.8875,3,3,0.0
0,3,1,24.0,0,0,7.7958,3,2,0.0
0,3,1,17.0,0,0,8.6625,3,2,0.0
0,3,0,21.0,0,0,7.75,2,1,0.0
0,3,0,29.69911764705882,0,0,7.6292,2,1,1.0
0,3,0,37.0,0,0,9.5875,3,1,0.0
